Feature Group,Normalize,PCA,PCA Components,KMeans Init.,Silhouette Score,ARI Score,Mean Majority %,Weighted Accuracy,Purity Score
group_1_temporal,Yes,Yes,0.95,KMeans++,0.06241963840088127,0.11662142291595973,42.47450858320423,0.335,0.335
group_1_temporal,Yes,No,0.95,KMeans++,0.05512046978307348,0.10061742148959962,41.27161410018553,0.3175,0.3175
group_2_harmonic,Yes,Yes,0.95,KMeans++,0.1730923191645053,0.3393427392618766,59.9270563463614,0.5599999999999999,0.56
group_2_harmonic,Yes,No,0.95,KMeans++,0.14937941426681886,0.26788450297043814,53.79087346024636,0.495,0.495
group_3_spectral_brightness,Yes,Yes,0.95,KMeans++,0.13432914837589402,0.3865086116810366,67.96985904426789,0.6275000000000001,0.6275
group_3_spectral_brightness,Yes,No,0.95,KMeans++,0.12343480220062716,0.3796205757926993,63.51919363472062,0.61,0.61
group_4_noise,Yes,Yes,0.95,KMeans++,0.10744404542399959,0.1870706054305969,62.27672085274478,0.39749999999999996,0.3975
group_4_noise,Yes,No,0.95,KMeans++,0.08329880590830793,0.18362069962416883,61.3928414768557,0.4025,0.4025
group_5_general_1,Yes,Yes,0.95,KMeans++,0.09145311417453585,0.2837255514917926,43.59500126085741,0.42500000000000004,0.425
group_5_general_1,Yes,No,0.95,KMeans++,0.08858242659791754,0.28324923549679615,50.94072647730398,0.435,0.435
group_6_general_2,Yes,Yes,0.95,KMeans++,0.14122979202481437,0.40691215423634175,66.69464258356268,0.6399999999999999,0.64
group_6_general_2,Yes,No,0.95,KMeans++,0.12402322205354611,0.34974332576984163,63.24383525615053,0.5850000000000001,0.585
group_7_general_composite,Yes,Yes,0.95,KMeans++,0.09128630138518712,0.345163151650318,62.89057502649219,0.5625,0.5625
group_7_general_composite,Yes,No,0.95,KMeans++,0.10212309128114043,0.32297194844579225,65.10452569223662,0.5425,0.5425
